,date,code,open,high,low,close,volume,amount
147,2017/1/6,sh.600519,346.64,359.78,346.1,350.76,6809562,2402546304
148,2017/1/9,sh.600519,347.8,352.88,346.54,348.51,3540500,1233977968
149,2017/1/10,sh.600519,348.45,352,346.6,349,3172764,1108100800
150,2017/1/11,sh.600519,348,348,343.5,345.45,2359851,814074640
151,2017/1/12,sh.600519,346.55,347.4,344.51,347.05,1777940,614822048
152,2017/1/13,sh.600519,346.98,347.39,343.88,344.87,1828248,631734944
153,2017/1/16,sh.600519,344.13,344.8,338.8,341.47,3685545,1259384864
154,2017/1/17,sh.600519,342.6,351.5,342,349.13,3518838,1223967888
155,2017/1/18,sh.600519,348.88,356.77,347.21,355.08,4600570,1622110976
156,2017/1/19,sh.600519,355,358.48,351.7,354.72,2852392,1011320064
157,2017/1/20,sh.600519,354.9,357.4,353.03,354.99,2134417,758416000
158,2017/1/23,sh.600519,356.88,359.8,349.46,351.22,3258118,1151869296
159,2017/1/24,sh.600519,351.27,352.8,346.75,350.31,2691458,939129472
160,2017/1/25,sh.600519,349.98,349.98,346.2,347.63,2299036,799259968
161,2017/1/26,sh.600519,348.14,348.8,341.3,344.42,3782617,1303262144
162,2017/2/3,sh.600519,346,349.18,345,346.85,2093643,727140784
163,2017/2/6,sh.600519,348.49,348.89,344.96,346.85,1568079,543401904
164,2017/2/7,sh.600519,346.84,347.4,343.14,343.58,2051983,707114112
165,2017/2/8,sh.600519,343.76,345.5,342.67,344.21,1908854,656786320
166,2017/2/9,sh.600519,345,348.79,344.61,347.61,2332438,808958176
167,2017/2/10,sh.600519,348.62,349.82,345,345.08,2405659,835679328
168,2017/2/13,sh.600519,344,351.9,341.92,349.75,5358790,1869148352
169,2017/2/14,sh.600519,349.54,352.6,349.1,350.21,2655868,931733728
170,2017/2/15,sh.600519,351.5,352.44,347.2,348.53,2625696,917475856
171,2017/2/16,sh.600519,348.5,348.62,345.51,348.09,1764230,612607280
172,2017/2/17,sh.600519,348.9,354.44,347.5,350.56,2910234,1022647968
173,2017/2/20,sh.600519,350.41,362.32,350.01,361.29,6185340,2215563600
174,2017/2/21,sh.600519,361.88,362.43,357.18,358.74,2770577,994112864
175,2017/2/22,sh.600519,360.61,366.52,360,361.89,3713031,1347469104
176,2017/2/23,sh.600519,360.97,365.48,359.76,361.7,2332806,844123200
177,2017/2/24,sh.600519,362,362.89,360.05,362.62,1769278,639123200
178,2017/2/27,sh.600519,362.49,362.85,356.8,357.2,2540046,912927184
179,2017/2/28,sh.600519,357,359.2,353.58,354.66,2747351,975788672
180,2017/3/1,sh.600519,355.1,358.2,355,356.61,2194420,782349008
181,2017/3/2,sh.600519,356.71,357,354.53,356.82,2210362,785560416
182,2017/3/3,sh.600519,355,358.22,355,356.54,1415355,505108560
183,2017/3/6,sh.600519,357.66,359.54,356.55,358.96,2281884,818625872
184,2017/3/7,sh.600519,358.03,368.88,358.03,367.2,4628698,1694198544
185,2017/3/8,sh.600519,367.18,368.49,365.5,367.28,1603770,588667680
186,2017/3/9,sh.600519,367,369.98,365.56,369.9,2340606,860084032
187,2017/3/10,sh.600519,369.92,377,368.36,369.85,4095105,1524343088
188,2017/3/13,sh.600519,370.05,374.33,367.53,371.55,2767432,1027592800
189,2017/3/14,sh.600519,371.55,373.85,368.34,369.5,2041649,756359632
190,2017/3/15,sh.600519,369.5,375.15,369.01,374.68,2515526,935994832
191,2017/3/16,sh.600519,376.56,378.3,372.8,374.77,2502260,938231440
192,2017/3/17,sh.600519,373.1,384.45,373.1,378.48,3470026,1315336848
193,2017/3/20,sh.600519,380.5,386.71,378.88,386.41,3154594,1209603920
194,2017/3/21,sh.600519,386.55,396.5,386.5,394.01,4846096,1901883744
195,2017/3/22,sh.600519,390.53,394.6,385,394.48,4553271,1775217760
196,2017/3/23,sh.600519,392.03,393.99,386.6,389.79,3450481,1345058752
