date,code,open,high,low,close,volume,amount
2019-04-10,sh.600519,903.0000,951.9000,900.0000,947.9900,6781438,6331858748.0000
2019-04-11,sh.600519,948.0000,950.0000,905.5500,925.2000,6110254,5643817564.0000
2019-04-12,sh.600519,909.0000,919.9900,900.0100,914.0000,4861217,4419349981.0000
2019-04-15,sh.600519,931.0000,939.0000,907.0000,907.0000,4552264,4205548308.0000
2019-04-16,sh.600519,904.9000,939.9000,901.2200,939.9000,4642344,4297385218.0000
2019-04-17,sh.600519,938.0000,955.5100,925.0000,952.0000,4076102,3848216557.0000
2019-04-18,sh.600519,945.4100,954.6800,936.2200,945.5000,1959852,1853076080.0000
2019-04-19,sh.600519,943.9600,960.9500,931.3100,952.5600,3237978,3064971032.0000
2019-04-22,sh.600519,959.5000,978.8900,940.6100,949.2000,4062796,3897168684.0000
2019-04-23,sh.600519,951.0000,981.2200,949.2000,974.9500,4885205,4725480295.0000
2019-04-24,sh.600519,979.8800,990.0000,951.2200,970.0000,4522700,4383873128.0000
2019-04-25,sh.600519,968.7900,973.9900,951.2200,952.3700,3980134,3822767525.0000
2019-04-26,sh.600519,946.3000,959.8800,945.0000,945.0000,4327768,4119727292.0000
2019-04-29,sh.600519,945.0000,989.0000,935.0000,971.9700,5257230,5086408528.0000
2019-04-30,sh.600519,968.0000,984.9600,963.1100,974.0000,3594318,3503937512.0000
2019-05-06,sh.600519,925.5000,935.0000,893.0000,906.0000,13509968,12299395806.0000
2019-05-07,sh.600519,893.2800,913.9400,870.2200,890.0000,10083726,9045117765.0000
2019-05-08,sh.600519,860.0000,901.8000,860.0000,884.4000,8188298,7217709507.0000
2019-05-09,sh.600519,875.0000,879.8700,842.5000,858.8100,9154515,7863312116.0000
2019-05-10,sh.600519,875.6600,910.7800,868.1900,907.1200,7990738,7121198718.0000
2019-05-13,sh.600519,898.8600,910.9800,884.0000,892.0000,4663718,4179329433.0000
2019-05-14,sh.600519,885.0000,906.0000,873.0000,886.5700,5998312,5349455647.0000
2019-05-15,sh.600519,890.2400,933.0000,890.2400,927.0000,6312425,5778791845.0000
2019-05-16,sh.600519,919.0000,932.0000,905.0000,929.9100,4454012,4108281950.0000
2019-05-17,sh.600519,927.0200,932.3000,900.1000,906.7900,4984161,4551116799.0000
2019-05-20,sh.600519,900.0000,900.0000,871.0000,884.9600,4440799,3931645928.0000
2019-05-21,sh.600519,885.0000,910.0000,872.0200,895.0000,4238565,3791406204.0000
2019-05-22,sh.600519,894.9800,904.0000,880.0000,888.0000,3204158,2853872828.0000
2019-05-23,sh.600519,881.0000,883.9800,856.2200,861.0000,5805863,5062812286.0000
2019-05-24,sh.600519,865.0000,885.0000,864.4400,878.5000,4403409,3858962204.0000
2019-05-27,sh.600519,879.1000,882.9900,860.0500,879.0000,3916191,3417213669.0000
2019-05-28,sh.600519,877.9900,907.4900,875.0200,888.0000,7477277,6670856081.0000
2019-05-29,sh.600519,888.0100,924.9500,888.0100,911.9100,6564696,5963755397.0000
2019-05-30,sh.600519,910.0000,919.9900,891.2200,905.3000,4024720,3634187681.0000
2019-05-31,sh.600519,900.5300,906.9900,890.0000,890.0000,3579380,3211384923.0000
2019-06-03,sh.600519,892.0000,901.3500,886.2800,892.0000,3447924,3076922330.0000
2019-06-04,sh.600519,895.0000,895.4300,871.0000,875.3000,3968948,3481384251.0000
2019-06-05,sh.600519,884.0000,886.2600,870.0000,871.6000,3406736,2988114670.0000
2019-06-06,sh.600519,875.6200,875.7700,858.0000,862.1300,3478685,3009567792.0000
2019-06-10,sh.600519,857.9800,878.9500,840.0000,871.0800,5550246,4790052574.0000
2019-06-11,sh.600519,876.0000,915.6100,875.0000,910.8900,8010644,7209086880.0000
2019-06-12,sh.600519,906.2200,910.9900,894.0000,906.7000,3774740,3420899273.0000
2019-06-13,sh.600519,910.0000,912.3000,897.0000,910.0000,3291742,2984741685.0000
2019-06-14,sh.600519,911.0000,932.3000,910.0200,913.0000,4245504,3905679105.0000
2019-06-17,sh.600519,907.0000,926.9400,906.0200,911.6000,3276903,3001512189.0000
2019-06-18,sh.600519,917.0000,920.0000,902.6000,917.0000,2944138,2687679912.0000
2019-06-19,sh.600519,940.0000,946.7000,932.0100,932.0100,5372640,5051192622.0000
2019-06-20,sh.600519,932.5000,975.5000,932.2000,975.0000,6727197,6468666073.0000
2019-06-21,sh.600519,969.9700,984.4900,964.5000,976.3000,4592675,4482726902.0000
2019-06-24,sh.600519,978.3000,999.6900,975.0000,987.1000,4577920,4532526991.0000
2019-06-25,sh.600519,992.0000,999.0000,967.0000,982.9800,5129595,5035624420.0000
2019-06-26,sh.600519,985.0000,985.0000,971.2200,979.8600,2958818,2896585581.0000
2019-06-27,sh.600519,985.0000,1001.0000,981.1200,996.3500,4797845,4772724089.0000
2019-06-28,sh.600519,985.9900,988.8800,971.3300,984.0000,3108840,3050739277.0000
2019-07-01,sh.600519,1004.5200,1035.6000,1000.2200,1031.8600,5233723,5325575854.0000
2019-07-02,sh.600519,1025.0000,1029.5000,1016.0000,1025.0000,3906109,3989722046.0000
2019-07-03,sh.600519,1020.0000,1023.0000,981.5000,987.9000,6713932,6717755678.0000
2019-07-04,sh.600519,985.8000,990.8000,971.2200,981.2000,4621668,4531686001.0000
2019-07-05,sh.600519,986.0000,1006.0000,976.3000,999.8200,5003271,4968920475.0000
2019-07-08,sh.600519,995.0500,997.9000,975.0000,984.8600,3361352,3313713091.0000
2019-07-09,sh.600519,979.3000,989.0000,968.3500,976.0600,3172332,3103986405.0000
2019-07-10,sh.600519,980.9300,990.5800,977.0000,982.5200,2816670,2774054724.0000
2019-07-11,sh.600519,989.9600,998.3800,976.0000,981.5000,3051419,3011117079.0000
2019-07-12,sh.600519,981.3000,991.5000,980.0100,986.0900,2817385,2778937975.0000
2019-07-15,sh.600519,967.8000,980.1000,951.1300,975.9300,5987040,5785726590.0000
2019-07-16,sh.600519,975.4500,982.3000,965.0000,968.0000,3324524,3226755644.0000
2019-07-17,sh.600519,968.0000,972.9900,962.1300,963.5000,2546887,2459954487.0000
2019-07-18,sh.600519,961.5000,963.0000,947.1800,947.5000,3925295,3748507464.0000
2019-07-19,sh.600519,955.0000,960.8000,948.0000,955.8700,2801481,2679887449.0000
2019-07-22,sh.600519,960.0000,964.0000,950.2500,957.0200,2812549,2695084029.0000
2019-07-23,sh.600519,962.3000,962.5900,943.8600,953.9800,3248395,3087319264.0000
2019-07-24,sh.600519,958.3100,959.9000,944.6900,946.3600,4677120,4450509786.0000
2019-07-25,sh.600519,945.9700,963.3600,938.1500,963.0000,3825570,3633246146.0000
2019-07-26,sh.600519,961.9700,971.0000,958.5500,965.0300,2646759,2556208822.0000
2019-07-29,sh.600519,962.0300,979.5000,960.0100,976.4100,2698133,2626793557.0000
2019-07-30,sh.600519,976.5000,983.0000,971.0000,978.9300,1953797,1911965179.0000
2019-07-31,sh.600519,975.0000,981.7700,966.5900,972.6000,2252620,2191909987.0000
2019-08-01,sh.600519,976.5100,977.0000,953.0200,959.3000,3508952,3385045858.0000
2019-08-02,sh.600519,944.0000,957.9800,943.0000,954.4500,3971940,3772328947.0000
2019-08-05,sh.600519,945.0000,954.0000,940.0000,942.4300,3677431,3473341317.0000
2019-08-06,sh.600519,931.0000,948.0000,923.8000,946.3000,4399116,4121445010.0000
2019-08-07,sh.600519,949.5000,955.5300,945.0000,945.0000,2686998,2553463419.0000
2019-08-08,sh.600519,953.5000,974.0000,952.0000,971.6800,3880813,3755086990.0000
2019-08-09,sh.600519,978.5000,980.9500,958.9900,962.0300,2846170,2760764357.0000
2019-08-12,sh.600519,1010.3100,1020.1000,995.0100,1018.6300,8149895,8208540716.0000
2019-08-13,sh.600519,1016.1600,1026.0000,1010.6800,1017.9500,3032970,3088013760.0000
2019-08-14,sh.600519,1030.0200,1051.9000,1030.0200,1043.3300,4141095,4327071299.0000
2019-08-15,sh.600519,1028.0000,1046.4800,1028.0000,1044.9000,2723739,2821331120.0000
2019-08-16,sh.600519,1049.8400,1075.5800,1041.0000,1054.6000,3608673,3822488363.0000
2019-08-19,sh.600519,1061.0000,1069.9800,1049.0500,1055.8800,3286758,3471558016.0000
2019-08-20,sh.600519,1055.0000,1073.6800,1050.0000,1070.0000,2860213,3038219263.0000
2019-08-21,sh.600519,1070.1000,1076.9700,1061.6600,1066.0000,2506662,2678841887.0000
2019-08-22,sh.600519,1072.9900,1104.0000,1070.0000,1104.0000,3759078,4099045126.0000
2019-08-23,sh.600519,1105.0000,1133.5600,1095.6200,1130.1000,4019230,4495782910.0000
2019-08-26,sh.600519,1113.0000,1128.0000,1096.6800,1102.9500,4849789,5382792365.0000
2019-08-27,sh.600519,1117.0000,1131.3100,1109.0000,1109.0000,5216421,5830617878.0000
