,time,code,O,H,L,C,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_5_pred,y_10_pred,y_pred
228,2019/6/26,sh.600519,985.0,985.0,971.22,979.86,2958818,2896585581,0.016828935,0.008205254,0.0027146740000000003,81.958462,74.75375845,1.0887846908425265,1.256088936201083,0.0052244733877921876,0.014970476616255803,0.0009759352256714985
229,2019/6/27,sh.600519,985.0,1001.0,981.12,996.35,4797845,4772724089,-0.012395243,-0.0152055,-0.014904401,84.24108593,78.83611724,1.2030455183913258,1.529539868496926,0.0046036181401863056,0.01464816847632656,0.0008426781772966315
230,2019/6/28,sh.600519,985.99,988.88,971.33,984.0,3108840,3050739277,0.048638211,0.016077236,0.002123984,84.14321263,69.38316673,1.1981462951307809,0.8963475738270171,0.0060412462937598,0.015394492612065084,0.0011512429919527918
231,2019/7/1,sh.600519,1004.52,1035.6,1000.22,1031.86,5233723,5325575854,-0.0066481890000000005,-0.045548815,-0.05420309,86.31733885,79.89382439,1.3069760755549016,1.6003888607442447,0.004442759414070325,0.014564660964703269,0.0008081523210198013
232,2019/7/2,sh.600519,1025.0,1029.5,1016.0,1025.0,3906109,3989722046,-0.036195122,-0.047746341,-0.055609756,87.26946157,75.70311711,1.3546362829528036,1.3196803606726517,0.00508009256870179,0.014895523374865103,0.0009449460991913347
233,2019/7/3,sh.600519,1020.0,1023.0,981.5,987.9,6713932,6717755678,-0.0067820630000000005,-0.005445895,-0.024698856,83.41377437,57.38838926,1.1616329570649018,0.09289465589946633,0.007865441794252382,0.016341497668232854,0.001542778553569991
234,2019/7/4,sh.600519,985.8,990.8,971.22,981.2,4621668,4531686001,0.018976763,0.000305748,-0.034345699,77.42569173,54.69979174,0.8618887596591562,-0.08719718223421538,0.00827433037187595,0.016553766336977076,0.001630540210056629
235,2019/7/5,sh.600519,986.0,1006.0,976.3,999.82,5003271,4968920475,-0.014962693,-0.013732472,-0.043957912,75.42082950000002,60.48734935,0.7615317912990069,0.3004740406007591,0.007394144259427495,0.016096830280160658,0.001441621772437357
236,2019/7/8,sh.600519,995.05,997.9,975.0,984.86,3361352,3313713091,-0.00893528,-0.009067279,-0.028267977000000007,67.62331197,54.22549345,0.3712130909233082,-0.11896737105361227,0.008346462831913103,0.016591212874012478,0.0016460223353243707
237,2019/7/9,sh.600519,979.3,989.0,968.35,976.06,3172332,3103986405,0.006618446,-0.008257689,-0.02262156,58.55392616,50.74878882,-0.08277125331772366,-0.3518494304942469,0.008875208693055596,0.016865703740695633,0.0017595095178326566
238,2019/7/10,sh.600519,980.93,990.58,977.0,982.52,2816670,2774054724,-0.001038147,-0.019358385,-0.036803322,52.56558958,53.22550224,-0.3825281621448148,-0.18595034406715047,0.008498543974758526,0.016670163628568938,0.0016786642180936734
239,2019/7/11,sh.600519,989.96,998.38,976.0,981.5,3051419,3011117079,0.004676516,-0.034640856,-0.018848701,47.06364187,52.75426835,-0.6579380052698807,-0.2175152684597704,0.008570210393245039,0.01670736822678543,0.0016940463146966052
240,2019/7/12,sh.600519,981.3,991.5,980.01,986.09,2817385,2778937975,-0.010303319,-0.03064629,-0.021357077,43.61623192,54.78102955,-0.8305042824432584,-0.0817555843676614,0.00826197552428978,0.016547352494201386,0.0016278884316770425
241,2019/7/15,sh.600519,967.8,980.1,951.13,975.93,5987040,5785726590,-0.008125583,-0.01937639,0.000491839,41.24011592,49.49384193,-0.9494450229409459,-0.4359102430550825,0.009066064127916378,0.016964783615501515,0.001800473707172962
242,2019/7/16,sh.600519,975.45,982.3,965.0,968.0,3324524,3226755644,-0.00464876,-0.014483471,0.011291322,37.69536119,45.62706544,-1.1268840673600242,-0.6949207050360962,0.009654133084769524,0.017270071220566244,0.001926693681528212
243,2019/7/17,sh.600519,968.0,972.99,962.13,963.5,2546887,2459954487,-0.016606124,-0.01778931,0.009444733,34.0434845,43.45948927,-1.3096852932744352,-0.8401126773734309,0.009983783443534282,0.017441204499007858,0.0019974480706939674
244,2019/7/18,sh.600519,961.5,963.0,947.18,947.5,3925295,3748507464,0.008833773,0.016358839,0.012453826,28.43991245,36.51979743,-1.5901821246829804,-1.304957954604407,0.011039188986571264,0.017989103222194946,0.0022239746693591355
245,2019/7/19,sh.600519,955.0,960.8,948.0,955.87,2801481,2679887449,0.001203092,0.009582893,-0.001485558,26.16224145,41.9729088,-1.704195024453071,-0.939689132154931,0.010209866287611767,0.017558572180485173,0.0020459732826594553
246,2019/7/22,sh.600519,960.0,964.0,950.25,957.02,2812549,2695084029,-0.003176527,0.02026081,-0.01524524,24.59003517,42.73329297,-1.7828946246233977,-0.8887558921127194,0.010094225177551241,0.017498538748817027,0.002021152693549703
247,2019/7/23,sh.600519,962.3,962.59,943.86,953.98,3248395,3087319264,-0.007987589,0.026153588,-0.008050483,23.58536191,41.13043909,-1.8331853433857084,-0.9961207540385402,0.010337991170138937,0.01762508638444049,0.0020734733218953087
248,2019/7/24,sh.600519,958.31,959.9,944.69,946.36,4677120,4450509786,0.017583161,0.027727292,-0.001437085,20.4187138,37.19620509,-1.9916975839913875,-1.2596497603094488,0.010936319232383925,0.0179356998576346,0.0022018952557391115
249,2019/7/25,sh.600519,945.97,963.36,938.15,963.0,3825570,3633246146,0.002107996,-0.00384216,0.009013499,23.89201301,49.14627556,-1.8178353735574544,-0.4591914764792479,0.009118922883309073,0.016992224483876696,0.0018118190276024207
250,2019/7/26,sh.600519,961.97,971.0,958.55,965.03,2646759,2556208822,0.01179238,-0.01096339,-0.003108712,27.34816459,50.4404916,-1.6448315184437083,-0.3725002763825911,0.008922095298742527,0.016890044252795392,0.0017695730080040774
251,2019/7/29,sh.600519,962.03,979.5,960.01,976.41,2698133,2626793557,0.002580883,-0.034800955,0.043240032000000005,34.742652,57.29479871,-1.2746872122961002,0.08662562750973496,0.007879675277168229,0.016348886777724978,0.0015458335521848431
252,2019/7/30,sh.600519,976.5,983.0,971.0,978.93,1953797,1911965179,-0.006466244,-0.033332312,0.039859847,44.10642776,58.71718235,-0.8059666520420125,0.18190194996162706,0.007663355646182839,0.016236587528967818,0.0014994038640380304
253,2019/7/31,sh.600519,975.0,981.77,966.59,972.6,2252620,2191909987,-0.013674686,-0.028377545,0.072722599,49.55728883,53.66602324,-0.5331140421459387,-0.1564426784398726,0.008431548448740445,0.01663538385750678,0.0016642846568579142
254,2019/8/1,sh.600519,976.51,977.0,953.02,959.3,3508952,3385045858,-0.00505577,0.012905243,0.089231731,49.15727246,44.59749602,-0.5531375777220624,-0.7638849319070742,0.009810712555135367,0.017351357217647412,0.001960301061247579
255,2019/8/2,sh.600519,944.0,957.98,943.0,954.45,3971940,3772328947,-0.01259364,0.007941746999999999,0.104929541,47.02162151,41.70627448,-0.6600414096215111,-0.9575492486063976,0.01025041669615727,0.017579623346279574,0.0020546768053791324
256,2019/8/5,sh.600519,945.0,954.0,940.0,942.43,3677431,3473341317,0.004106406,0.080854811,0.120380293,40.7751714,35.32175265,-0.9727186533104828,-1.3852072611635613,0.011221390607445904,0.01808369059299136,0.002263081450368875
257,2019/8/6,sh.600519,931.0,948.0,923.8,946.3,4399116,4121445010,-0.001373772,0.07571594599999999,0.130719645,40.31376896,38.71962763,-0.9958149785239996,-1.157605492455299,0.010704633354945385,0.017815423441363585,0.002152167438672806
258,2019/8/7,sh.600519,949.5,955.53,945.0,945.0,2686998,2553463419,0.028232804,0.10405291,0.128042328,39.56327594,37.96587742,-1.0333822502974088,-1.2080943662278778,0.01081926555591921,0.01787493311228018,0.0021767714809344946
259,2019/8/8,sh.600519,953.5,974.0,952.0,971.68,3880813,3755086990,-0.009931253,0.07535402599999999,0.136176519,46.44912635,57.2019166,-0.6886986798312748,0.08040405295452382,0.007893801018772191,0.016356219954852903,0.0015488654257809974
260,2019/8/9,sh.600519,978.5,980.95,958.99,962.03,2846170,2760764357,0.058833924,0.09622361,0.174703492,49.47055574,50.79302284,-0.5374556222498782,-0.3488864782819569,0.00886848147360909,0.0168622114007419,0.0017580656234455704
261,2019/8/12,sh.600519,1010.31,1020.1,995.01,1018.63,8149895,8208540716,-0.000667563,0.036568725,0.082777849,57.63771649,71.70856465,-0.1286337687003659,1.0521110091087105,0.005687594011912272,0.015210899077849897,0.001075336958442137
262,2019/8/13,sh.600519,1016.16,1026.0,1010.68,1017.95,3032970,3088013760,0.024932462,0.051132177,0.089444472,63.38531169,71.29895456,0.15907239933560408,1.0246738663316826,0.005749888530089304,0.015243238387791869,0.001088707520508281
263,2019/8/14,sh.600519,1030.02,1051.9,1030.02,1043.33,4141095,4327071299,0.0015047970000000002,0.021728504,0.054421899,68.37274543,76.85114458,0.4087273245239167,1.3965793296563993,0.004905497704357394,0.014804884943145247,0.0009074719917022508
264,2019/8/15,sh.600519,1028.0,1046.48,1028.0,1044.9,2723739,2821331120,0.009283185,0.056560436,0.065269404,72.73320771,77.15864728,0.6269980707734423,1.4171769557652232,0.004858731931242193,0.014780607159550381,0.0008974344363874955
265,2019/8/16,sh.600519,1049.84,1075.58,1041.0,1054.6,3608673,3822488363,0.00121373,0.071591125,0.082875024,74.97390009,79.08933449,0.7391599395141631,1.5465012618108858,0.004565108232916044,0.014628176607643822,0.0008344126168526899
266,2019/8/19,sh.600519,1061.0,1069.98,1049.05,1055.88,3286758,3471558016,0.013372732,0.044578929,0.07849376799999999,76.98169805,79.34847363,0.839663861095495,1.5638593244096275,0.004525697709930367,0.01460771719716749,0.0008259537530704593
267,2019/8/20,sh.600519,1055.0,1073.68,1050.0,1070.0,2860213,3038219263,-0.003738318,0.036448598,0.065420561,80.20535276,82.10121799,1.0010296691268614,1.7482479463646627,0.004107053521817861,0.014390384042486024,0.000736098204547209
